Dallam County|2017|86.0
Dallas County|2017|10742.8
Dane County|2017|7729.0
Daniels County|2017|21.0
Danville city|2017|1151.0
Dare County|2017|1200.0
Darke County|2017|1112.0
Darlington County|2017|1583.0
Dauphin County|2017|6404.0
Davidson County|2017|7071.0
Davie County|2017|822.0
Daviess County|2017|891.0
Davis County|2017|2680.5
Davison County|2017|323.0
Dawes County|2017|142.0
Dawson County|2017|299.75
Day County|2017|116.0
De Baca County|2017|38.0
De Soto Parish|2017|653.0
De Witt County|2017|354.0
DeKalb County|2017|3992.5
DeSoto County|2017|1976.0
DeWitt County|2017|426.0
Deaf Smith County|2017|255.0
Dearborn County|2017|986.0
Decatur County|2017|296.0
Deer Lodge County|2017|183.0
Defiance County|2017|902.0
Del Norte County|2017|629.0
Delaware County|2017|3597.8333333333335
Delta County|2017|580.6666666666666
Denali Borough|2017|106.0
Dent County|2017|258.0
Denton County|2017|15318.0
Denver County/city|2017|10941.0
Des Moines County|2017|836.0
Deschutes County|2017|3937.0
Desha County|2017|262.0
Deuel County|2017|66.5
Dewey County|2017|151.0
Dickens County|2017|32.0
Dickenson County|2017|323.0
Dickey County|2017|45.0
Dickinson County|2017|445.3333333333333
Dickson County|2017|847.0
Dillingham Census Area|2017|191.0
Dillon County|2017|717.0
Dimmit County|2017|330.0
Dinwiddie County|2017|612.0
District of Columbia|2017|24261.0
Divide County|2017|27.0
Dixie County|2017|264.0
Dixon County|2017|95.0
Doddridge County|2017|162.0
Dodge County|2017|701.5
Dolores County|2017|34.0
Dona Ana County|2017|6445.0
Doniphan County|2017|147.0
Donley County|2017|55.0
Dooly County|2017|262.0
Door County|2017|605.0
Dorado Municipio|2017|894.0
Dorchester County|2017|1874.5
Dougherty County|2017|2391.0
Douglas County|2017|2195.9166666666665
Drew County|2017|405.0
DuPage County|2017|21039.0
Dubois County|2017|600.0
Dubuque County|2017|1638.0
Duchesne County|2017|466.0
Dukes County|2017|461.0
Dundy County|2017|28.0
Dunklin County|2017|813.0
Dunn County|2017|437.5
Duplin County|2017|1261.0
Durham County|2017|6746.0
Dutchess County|2017|6267.0
Duval County|2017|10180.5
Dyer County|2017|780.0
Eagle County|2017|812.0
Early County|2017|250.0
East Baton Rouge Parish|2017|10245.0
East Carroll Parish|2017|231.0
East Feliciana Parish|2017|388.0
Eastland County|2017|339.0
Eaton County|2017|2405.0
Eau Claire County|2017|1731.0
Echols County|2017|74.0
Ector County|2017|3212.0
Eddy County|2017|791.5
Edgar County|2017|452.0
Edgecombe County|2017|1723.0
Edgefield County|2017|482.0
Edmonson County|2017|292.0
Edmunds County|2017|60.0
Edwards County|2017|68.0
Effingham County|2017|950.0
El Dorado County|2017|3920.0
El Paso County|2017|13470.5
Elbert County|2017|384.0
Elk County|2017|414.5
Elkhart County|2017|2825.0
Elko County|2017|1009.0
Elliott County|2017|227.0
Ellis County|2017|1163.6666666666667
Ellsworth County|2017|84.0
Elmore County|2017|879.5
Emanuel County|2017|582.0
Emery County|2017|220.0
Emmet County|2017|674.5
Emmons County|2017|63.0
Emporia city|2017|125.0
Erath County|2017|703.0
Erie County|2017|11065.0
Escambia County|2017|3354.5
Esmeralda County|2017|20.0
Essex County|2017|7607.6
Estill County|2017|322.0
Etowah County|2017|1962.0
Eureka County|2017|32.0
Evangeline Parish|2017|746.0
Evans County|2017|215.0
Fairbanks North Star Borough|2017|2940.0
